Human,Algorithm,Runtime
01366399,01366399,2.0241310596466064
01366400,01366492,3.438292980194092
01366500,01366771,2.2575182914733887
01366670,01366680,2.3391318321228027
01366695,01366746,1.7977471351623535
0136675058,01366764,3.06016206741333
01366770,01366751,3.1214919090270996
01366773,01366801,2.0121259689331055
01366798,01366799,1.8402690887451172
01366800,01366803,1.7537059783935547
01366805,01366764,3.598416805267334
01366807,ERROR: isolateNetwork() [Error]: User Click was not snapped to line!,NaN
01366850,01366853,3.732546091079712
01366900,01366816,4.465380907058716
01366940,01366951,1.922886848449707
01366950,01366939,1.6733849048614502
01367400,01367496,1.8340370655059814
01367540,01367499,1.7322368621826172
01367560,00345000,3.124098062515259
01367565,01367560,2.2027981281280518
